epoch,train_loss,val_loss,train_accuracy,val_accuracy,learning_rate,rank,lora_alpha,lora_dropout,weight_decay,loss_function
1,0.6346532456252886,0.570825351007057,0.6350425330812854,0.6955492424242424,0.0001,16,32,0.1,0.0001,weighted_cross_entropy
2,0.5702871237450151,0.5555119943438154,0.6960066162570888,0.6993371212121212,0.0001,16,32,0.1,0.0001,weighted_cross_entropy
3,0.5491334280185753,0.5385922468972929,0.710125236294896,0.7064393939393939,0.0001,16,32,0.1,0.0001,weighted_cross_entropy
4,0.5408525942404013,0.5387788369800105,0.714437618147448,0.7149621212121212,0.0001,16,32,0.1,0.0001,weighted_cross_entropy
5,0.5272627151756071,0.5331631438298658,0.7281427221172023,0.7225378787878788,0.0001,16,32,0.1,0.0001,weighted_cross_entropy
6,0.523027949049252,0.5291674001650377,0.7277292060491494,0.7286931818181818,0.0001,16,32,0.1,0.0001,weighted_cross_entropy
7,0.5127449380145858,0.5312488575776418,0.7400756143667296,0.7253787878787878,0.0001,16,32,0.1,0.0001,weighted_cross_entropy
8,0.5050391505114974,0.5312781026869109,0.7402528355387523,0.7206439393939394,0.0001,16,32,0.1,0.0001,weighted_cross_entropy
9,0.5031985326164837,0.5270269025455822,0.7473416824196597,0.7400568181818182,0.0001,16,32,0.1,0.0001,weighted_cross_entropy
10,0.49444452561931035,0.526396853002635,0.749586483931947,0.7305871212121212,0.0001,16,32,0.1,0.0001,weighted_cross_entropy
11,0.48799757070712646,0.5342575912222718,0.7558482986767486,0.7159090909090909,0.0001,16,32,0.1,0.0001,weighted_cross_entropy
12,0.4834820229862949,0.5362063447634379,0.755789224952741,0.7230113636363636,0.0001,16,32,0.1,0.0001,weighted_cross_entropy
13,0.4786510931746946,0.5385976289257859,0.7589792060491494,0.7277462121212122,0.0001,16,32,0.1,0.0001,weighted_cross_entropy
