epoch,train_loss,val_loss,train_accuracy,val_accuracy,learning_rate,rank,lora_alpha,lora_dropout,weight_decay,loss_function
1,0.6374812740233986,0.5701610229232095,0.6328568052930057,0.6922348484848485,0.0001,16,32,0.1,0,weighted_cross_entropy
2,0.5681902105252774,0.549932400837089,0.6987830812854442,0.7064393939393939,0.0001,16,32,0.1,0,weighted_cross_entropy
3,0.5478682691523619,0.5443581866495537,0.7149102079395085,0.7097537878787878,0.0001,16,32,0.1,0,weighted_cross_entropy
4,0.5380121968644328,0.5363987472021219,0.7172140831758034,0.7220643939393939,0.0001,16,32,0.1,0,weighted_cross_entropy
5,0.5260585203682318,0.5337891348383643,0.7296786389413988,0.724905303030303,0.0001,16,32,0.1,0,weighted_cross_entropy
6,0.5195954752441615,0.5351729234962752,0.7332230623818525,0.7253787878787878,0.0001,16,32,0.1,0,weighted_cross_entropy
7,0.5132313818866229,0.5294600526491801,0.7379489603024575,0.7277462121212122,0.0001,16,32,0.1,0,weighted_cross_entropy
8,0.5027965970604992,0.5309985266490416,0.7457466918714556,0.7320075757575758,0.0001,16,32,0.1,0,weighted_cross_entropy
9,0.49937619598466193,0.5273926754792532,0.7488185255198487,0.7286931818181818,0.0001,16,32,0.1,0,weighted_cross_entropy
10,0.49050578548236695,0.5284018146269249,0.75,0.7291666666666666,0.0001,16,32,0.1,0,weighted_cross_entropy
11,0.48694046700834553,0.5381406857208773,0.7563799621928167,0.7211174242424242,0.0001,16,32,0.1,0,weighted_cross_entropy
12,0.47869844419181007,0.5280656046939619,0.7605151228733459,0.7291666666666666,0.0001,16,32,0.1,0,weighted_cross_entropy
