epoch,train_loss,val_loss,train_accuracy,val_accuracy,learning_rate,rank,lora_alpha,lora_dropout,weight_decay,loss_function
1,0.579892431696256,0.4837363580862681,0.6785337552742616,0.7583333333333333,0.0001,16,32,0.1,0,cross_entropy
2,0.491252316515657,0.4644161507487297,0.7526371308016878,0.7661458333333333,0.0001,16,32,0.1,0,cross_entropy
3,0.47109272576208355,0.4603114309410254,0.7627241561181435,0.7760416666666666,0.0001,16,32,0.1,0,cross_entropy
4,0.4588504804589074,0.4526102110743523,0.7734704641350211,0.7796875,0.0001,16,32,0.1,0,cross_entropy
5,0.4497215163104142,0.454003752519687,0.7809862869198312,0.7854166666666667,0.0001,16,32,0.1,0,cross_entropy
6,0.4406659093838704,0.46247969145576157,0.7861946202531646,0.775,0.0001,16,32,0.1,0,cross_entropy
7,0.4318870294068936,0.4454460812111696,0.7883043248945147,0.7869791666666667,0.0001,16,32,0.1,0,cross_entropy
8,0.4264482889434456,0.4545478865504265,0.7916666666666666,0.7828125,0.0001,16,32,0.1,0,cross_entropy
9,0.41627262548429556,0.449322214225928,0.7983913502109705,0.7947916666666667,0.0001,16,32,0.1,0,cross_entropy
10,0.41529189675794875,0.45831991359591484,0.8000395569620253,0.790625,0.0001,16,32,0.1,0,cross_entropy
