epoch,train_loss,val_loss,train_accuracy,val_accuracy,learning_rate,rank,lora_alpha,lora_dropout,weight_decay,loss_function
1,0.5944001692256847,0.502029845615228,0.6597441983122363,0.734375,0.0001,16,32,0.1,0.0001,weighted_cross_entropy
2,0.5057760674490708,0.5012720237175624,0.7402426160337553,0.7135416666666666,0.0001,16,32,0.1,0.0001,weighted_cross_entropy
3,0.4855862609444791,0.47787888199090955,0.7525052742616034,0.75,0.0001,16,32,0.1,0.0001,weighted_cross_entropy
4,0.4714352579056462,0.4693412289023399,0.763251582278481,0.7552083333333334,0.0001,16,32,0.1,0.0001,weighted_cross_entropy
5,0.4622455831255591,0.46465474789341293,0.7674709915611815,0.7739583333333333,0.0001,16,32,0.1,0.0001,weighted_cross_entropy
6,0.4532663979988058,0.4762210172911485,0.7743275316455697,0.7463541666666667,0.0001,16,32,0.1,0.0001,weighted_cross_entropy
7,0.44643599084157987,0.46781966214378673,0.7774261603375527,0.7640625,0.0001,16,32,0.1,0.0001,weighted_cross_entropy
8,0.4359267126092931,0.4620713527003924,0.7845464135021097,0.7734375,0.0001,16,32,0.1,0.0001,weighted_cross_entropy
9,0.43109440772090785,0.46643252645929656,0.7881724683544303,0.7817708333333333,0.0001,16,32,0.1,0.0001,weighted_cross_entropy
10,0.42624129270073735,0.4699864330391089,0.7898866033755274,0.7578125,0.0001,16,32,0.1,0.0001,weighted_cross_entropy
11,0.4214100081646493,0.4945594648520152,0.7927215189873418,0.7348958333333333,0.0001,16,32,0.1,0.0001,weighted_cross_entropy
