epoch,train_loss,val_loss,train_accuracy,val_accuracy,learning_rate,rank,lora_alpha,lora_dropout,weight_decay,loss_function
1,0.58319199858587,0.49162671466668445,0.6762262658227848,0.7328125,0.0001,32,64,0.1,0,weighted_cross_entropy
2,0.4948476437903658,0.47630810290575026,0.7447257383966245,0.7541666666666667,0.0001,32,64,0.1,0,weighted_cross_entropy
3,0.47546884335797546,0.4764951248963674,0.7614055907172996,0.7713541666666667,0.0001,32,64,0.1,0,weighted_cross_entropy
4,0.4587269770885319,0.4695019476115704,0.7705036919831224,0.7692708333333333,0.0001,32,64,0.1,0,weighted_cross_entropy
5,0.4470583174676332,0.4698630779981613,0.7770965189873418,0.740625,0.0001,32,64,0.1,0,weighted_cross_entropy
6,0.43461760227816015,0.46675777236620586,0.7858649789029536,0.778125,0.0001,32,64,0.1,0,weighted_cross_entropy
7,0.42674689177219377,0.4633213726182779,0.7892273206751055,0.7760416666666666,0.0001,32,64,0.1,0,weighted_cross_entropy
8,0.4146752423815083,0.47689580023288725,0.7973364978902954,0.7625,0.0001,32,64,0.1,0,weighted_cross_entropy
9,0.4041190766395396,0.4745831069846948,0.8005010548523207,0.7479166666666667,0.0001,32,64,0.1,0,weighted_cross_entropy
10,0.3923427493700498,0.4936927333474159,0.8102584388185654,0.7578125,0.0001,32,64,0.1,0,weighted_cross_entropy
