epoch,train_loss,val_loss,train_accuracy,val_accuracy,learning_rate,rank,lora_alpha,lora_dropout,weight_decay,loss_function
1,1.7895422915352714,1.7227931504553937,0.29486111111111113,0.31716729246132763,0.0001,8,16,0.1,0,cross_entropy
2,1.707933675871955,1.6801694082030167,0.3406111111111111,0.3448711931705475,0.0001,8,16,0.1,0,cross_entropy
3,1.6803798542022705,1.6598737493474434,0.35675,0.3563699417925896,0.0001,8,16,0.1,0,cross_entropy
4,1.6643880583445232,1.6486599149433434,0.36194444444444446,0.3552357114798634,0.0001,8,16,0.1,0,cross_entropy
5,1.6510266427993774,1.644818216350907,0.37130555555555556,0.3570087611252534,0.0001,8,16,0.1,0,cross_entropy
6,1.6369985616472031,1.641519881309347,0.37494444444444447,0.3603332292103598,0.0001,8,16,0.1,0,cross_entropy
7,1.628511885854933,1.6342851845085198,0.3786111111111111,0.35767365474227475,0.0001,8,16,0.1,0,cross_entropy
8,1.6211947818332249,1.630289042249639,0.37958333333333333,0.36412703399117113,0.0001,8,16,0.1,0,cross_entropy
9,1.6129689059787327,1.6294669961252957,0.38708333333333333,0.36769920735494466,0.0001,8,16,0.1,0,cross_entropy
10,1.6043941984176635,1.6299250235794285,0.38819444444444445,0.371193158288374,0.0001,8,16,0.1,0,cross_entropy
11,1.5982260649998983,1.6230705976486206,0.3904166666666667,0.3723013143167428,0.0001,8,16,0.1,0,cross_entropy
12,1.5926429737938774,1.6218157668485709,0.3923611111111111,0.37318783913943787,0.0001,8,16,0.1,0,cross_entropy
13,1.585530495961507,1.622082791429885,0.39658333333333334,0.3745176263734804,0.0001,8,16,0.1,0,cross_entropy
14,1.5781170484754774,1.624528333650413,0.39855555555555555,0.3771511265572081,0.0001,8,16,0.1,0,cross_entropy
15,1.5720430354012382,1.6203376764946795,0.4023055555555556,0.3780897999486179,0.0001,8,16,0.1,0,cross_entropy
16,1.5650080966949462,1.6242748126916007,0.4037777777777778,0.3749869630691853,0.0001,8,16,0.1,0,cross_entropy
17,1.5638182819154527,1.6243871196787407,0.4047222222222222,0.3754562995535262,0.0001,8,16,0.1,0,cross_entropy
18,1.5549643425411648,1.6269932706305321,0.40780555555555553,0.37540415119617543,0.0001,8,16,0.1,0,cross_entropy
