epoch,train_loss,val_loss,train_accuracy,val_accuracy,learning_rate,rank,lora_alpha,lora_dropout,weight_decay,loss_function
1,1.8981690810521443,1.8298914398707398,0.24705555555555556,0.29530402595269767,0.0001,16,32,0.1,0,weighted_cross_entropy
2,1.825104949845208,1.792608323672139,0.2940833333333333,0.3109876929868198,0.0001,16,32,0.1,0,weighted_cross_entropy
3,1.794346273528205,1.7732004121685705,0.3093611111111111,0.30884960367747233,0.0001,16,32,0.1,0,weighted_cross_entropy
4,1.7743074205186633,1.761680098290139,0.3184444444444444,0.31724551531439976,0.0001,16,32,0.1,0,weighted_cross_entropy
5,1.7571948438220555,1.7521090541325561,0.32108333333333333,0.33519764297397425,0.0001,16,32,0.1,0,weighted_cross_entropy
6,1.7398908774058024,1.7503749419611396,0.32861111111111113,0.30552513559236594,0.0001,16,32,0.1,0,weighted_cross_entropy
7,1.727600577407413,1.7449725984681583,0.3313333333333333,0.3159418022590326,0.0001,16,32,0.1,0,weighted_cross_entropy
8,1.712566432317098,1.7412494640823797,0.335,0.3207916146051799,0.0001,16,32,0.1,0,weighted_cross_entropy
9,1.701210264523824,1.7407075826157914,0.3378888888888889,0.30729818523775604,0.0001,16,32,0.1,0,weighted_cross_entropy
10,1.6902229200998942,1.7400276939919654,0.3465,0.3218997706335487,0.0001,16,32,0.1,0,weighted_cross_entropy
11,1.6833354774051243,1.7405567549644632,0.3442777777777778,0.328991969215109,0.0001,16,32,0.1,0,weighted_cross_entropy
12,1.670537257247501,1.7466369123323588,0.3527777777777778,0.3090451607044707,0.0001,16,32,0.1,0,weighted_cross_entropy
13,1.6616428498162163,1.7559785707622555,0.3527222222222222,0.29729870680376147,0.0001,16,32,0.1,0,weighted_cross_entropy
