epoch,train_loss,val_loss,train_accuracy,val_accuracy,learning_rate,rank,lora_alpha,lora_dropout,weight_decay,loss_function
1,1.889574035750495,1.8416127067931154,0.2638611111111111,0.23327336254272055,0.0001,32,64,0.1,0.0001,weighted_cross_entropy
2,1.8082373435762193,1.778792458223113,0.30375,0.3140905298662524,0.0001,32,64,0.1,0.0001,weighted_cross_entropy
3,1.7778716377682156,1.762424037811604,0.31383333333333335,0.3134256362492311,0.0001,32,64,0.1,0.0001,weighted_cross_entropy
4,1.7554791238572862,1.7610122870046196,0.32022222222222224,0.2961905507753927,0.0001,32,64,0.1,0.0001,weighted_cross_entropy
5,1.7380816566679214,1.7551367629504373,0.3243611111111111,0.32137828536912905,0.0001,32,64,0.1,0.0001,weighted_cross_entropy
6,1.7242122277153862,1.7522634479170995,0.3283055555555556,0.2988240509591204,0.0001,32,64,0.1,0.0001,weighted_cross_entropy
7,1.7082321144739787,1.7444881268426882,0.3358333333333333,0.3129562995535262,0.0001,32,64,0.1,0.0001,weighted_cross_entropy
8,1.6957673569785223,1.7377829019059525,0.34008333333333335,0.3151726116102638,0.0001,32,64,0.1,0.0001,weighted_cross_entropy
9,1.6835961683061387,1.7437626613792798,0.3438333333333333,0.3151986858946212,0.0001,32,64,0.1,0.0001,weighted_cross_entropy
10,1.6687274606492783,1.745587299901543,0.35180555555555554,0.3032045265038808,0.0001,32,64,0.1,0.0001,weighted_cross_entropy
11,1.6571135736041598,1.7525657280117062,0.3526666666666667,0.31805381728402266,0.0001,32,64,0.1,0.0001,weighted_cross_entropy
