epoch,train_loss,val_loss,train_accuracy,val_accuracy,learning_rate,dropout_rate,weight_decay
1,0.6356676689055105,0.6084294513319478,0.6355741965973535,0.6661931818181818,0.0005,0.2,0.001
2,0.5961664116224855,0.60122150182724,0.6789933837429112,0.681344696969697,0.0005,0.2,0.001
3,0.5897709076875549,0.598560351765517,0.686554820415879,0.6761363636363636,0.0005,0.2,0.001
4,0.5857540726210986,0.5953075682575052,0.6882088846880907,0.6794507575757576,0.0005,0.2,0.001
5,0.5822999458795234,0.5943427067814451,0.6886224007561437,0.6818181818181818,0.0005,0.2,0.001
6,0.5786196434261217,0.5924830775369297,0.692757561436673,0.6856060606060606,0.0005,0.2,0.001
7,0.5762354571562408,0.5919545012893099,0.6948251417769377,0.6846590909090909,0.0005,0.2,0.001
8,0.5730716895403619,0.5898469551043077,0.6997282608695652,0.6799242424242424,0.0005,0.2,0.001
9,0.5707907333040508,0.5903255235065114,0.7000827032136105,0.681344696969697,0.0005,0.2,0.001
10,0.5674424085815372,0.5886802844928972,0.7016186200378072,0.6837121212121212,0.0005,0.2,0.001
11,0.5659376661696371,0.589332480322231,0.7056947069943289,0.678030303030303,0.0005,0.2,0.001
12,0.5625925136761765,0.5908765467730436,0.7095344990548205,0.6803977272727273,0.0005,0.2,0.001
13,0.5594442658027764,0.5860565327333681,0.7087074669187146,0.6775568181818182,0.0005,0.2,0.001
14,0.5561733574858234,0.5851252774397532,0.7104206049149339,0.6856060606060606,0.0005,0.2,0.001
15,0.5531939577402826,0.5840742393876567,0.7160916824196597,0.6875,0.0005,0.2,0.001
16,0.5505393309719395,0.5866469564762983,0.7175685255198487,0.6865530303030303,0.0005,0.2,0.001
17,0.5487561404479699,0.5826591199094598,0.7211129489603024,0.6889204545454546,0.0005,0.2,0.001
18,0.5450455313706893,0.5834600099108436,0.720640359168242,0.6884469696969697,0.0005,0.2,0.001
19,0.5409142949630723,0.5839230815569559,0.7278473534971645,0.6870265151515151,0.0005,0.2,0.001
20,0.538528902487854,0.5811232125217264,0.7287334593572778,0.6889204545454546,0.0005,0.2,0.001
21,0.5348546515678413,0.5860156421408509,0.7327504725897921,0.6908143939393939,0.0005,0.2,0.001
22,0.5334652891569192,0.5795843244502039,0.7318643667296786,0.693655303030303,0.0005,0.2,0.001
23,0.5289792970301749,0.5794261599128897,0.7388941398865785,0.6941287878787878,0.0005,0.2,0.001
24,0.528567460624392,0.580483208100001,0.7344636105860114,0.6917613636363636,0.0005,0.2,0.001
25,0.5257673478757501,0.5793924968351017,0.7405482041587902,0.6912878787878788,0.0005,0.2,0.001
26,0.5235092202183881,0.5795372561974959,0.7405482041587902,0.696969696969697,0.0005,0.2,0.001
27,0.518871494468534,0.578190340237184,0.747164461247637,0.6988636363636364,0.0005,0.2,0.001
28,0.5175666816405854,0.5780057554895227,0.74757797731569,0.6931818181818182,0.0005,0.2,0.001
29,0.5156870773924772,0.576630382826834,0.7494092627599244,0.6964962121212122,0.0005,0.2,0.001
30,0.515677008376455,0.5775866725228049,0.7491138941398866,0.6979166666666666,0.0005,0.2,0.001
31,0.5127732482772243,0.5785536061633717,0.7518312854442344,0.6998106060606061,0.0005,0.2,0.001
32,0.5096661449042069,0.5771163426565401,0.7524810964083176,0.6955492424242424,0.0005,0.2,0.001
33,0.5061691473246973,0.5756908533248034,0.7560845935727788,0.6979166666666666,0.0005,0.2,0.001
34,0.50369987483286,0.5794063585274147,0.7599834593572778,0.6988636363636364,0.0005,0.2,0.001
35,0.5030466727701162,0.5773069804364984,0.7617556710775047,0.7002840909090909,0.0005,0.2,0.001
36,0.5000837280754782,0.5790444273840297,0.7611058601134215,0.6912878787878788,0.0005,0.2,0.001
37,0.49774402994063943,0.5793449400049268,0.7634097353497165,0.6979166666666666,0.0005,0.2,0.001
38,0.49763160600328715,0.5806175781921907,0.7640004725897921,0.693655303030303,0.0005,0.2,0.001
39,0.49453819462842885,0.5786074612176779,0.767781190926276,0.6993371212121212,0.0005,0.2,0.001
40,0.49275410518979756,0.5817782824689691,0.7656545368620038,0.6912878787878788,0.0005,0.2,0.001
41,0.49154074833726613,0.5788226114078001,0.7700259924385633,0.7021780303030303,0.0005,0.2,0.001
42,0.4892200746191472,0.5788666443391279,0.7713846880907372,0.7002840909090909,0.0005,0.2,0.001
43,0.4872976608701149,0.5784166121121609,0.7707348771266541,0.6979166666666666,0.0005,0.2,0.001
